Altium Designer Pick and Place Locations
D:\SCHOOLWORK\ENGG4000-BMS\Project Outputs for ENGG4000-SysMoDEL-BMS\Pick Place for [1]BMS_AFE.csv

========================================================================================================================
File Design Information:

Date:       20/01/25
Time:       02:10
Revision:   fd64967319291a99645ca1414e1a7246345a6e6d
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J6","M20-7820242","TopLayer","HARWIN_M20-7820245","93.1450mm","122.9750mm","270","CONN RCPT 2POS 0.1 GOLD PCB"
"HS1","DA-T268-101E-TR","TopLayer","FP-DA-T268-101E-TR-MFG","30.5250mm","52.0750mm","90","TO-268 HEAT SINK /POLY TAPE"
"HS4","DA-T268-101E-TR","TopLayer","FP-DA-T268-101E-TR-MFG","67.5000mm","20.5000mm","90","TO-268 HEAT SINK /POLY TAPE"
"E6","N/A","TopLayer","SPARK_GAP2","76.2000mm","130.2630mm","180","Spark Gap"
"E5","N/A","TopLayer","SPARK_GAP2","81.2750mm","130.2630mm","180","Spark Gap"
"E3","N/A","TopLayer","SPARK_GAP2","91.8750mm","130.2630mm","180","Spark Gap"
"E2","N/A","TopLayer","SPARK_GAP2","95.1000mm","130.2460mm","180","Spark Gap"
"E1","N/A","TopLayer","SPARK_GAP2","98.0000mm","42.2210mm","180","Spark Gap"
"E7","N/A","TopLayer","SPARK_GAP2","73.5500mm","130.2630mm","180","Spark Gap"
"E4","N/A","TopLayer","SPARK_GAP2","84.1750mm","130.2710mm","180","Spark Gap"
"Q15","STH315N10F7-6","TopLayer","H2PAK-6_STM","71.7347mm","20.6200mm","90","No Description Available"
"Q14","STH315N10F7-6","TopLayer","H2PAK-6_STM","34.8347mm","20.7550mm","90","No Description Available"
"Q13","STH315N10F7-6","TopLayer","H2PAK-6_STM","71.7097mm","52.5700mm","90","No Description Available"
"Q12","STH315N10F7-6","TopLayer","H2PAK-6_STM","34.8347mm","51.3450mm","90","No Description Available"
"MP4","9774050482R","TopLayer","9774050482","104.0000mm","6.0000mm","0","9774050482R WA-SMSI SMT Steel Spacer, M4 Internal non Stop"
"MP3","9774050482R","TopLayer","9774050482","6.1000mm","129.0000mm","0","9774050482R WA-SMSI SMT Steel Spacer, M4 Internal non Stop"
"MP2","9774050482R","TopLayer","9774050482","104.0000mm","129.0000mm","0","9774050482R WA-SMSI SMT Steel Spacer, M4 Internal non Stop"
"MP1","9774050482R","TopLayer","9774050482","6.0000mm","6.0000mm","0","9774050482R WA-SMSI SMT Steel Spacer, M4 Internal non Stop"
"U5","LM7332MME/NOPB","TopLayer","DGK0008A_M","83.7000mm","91.7000mm","0","Dual Rail-to-Rail Input/Output, 30V, Wide Voltage Range, High Output Operational Amplifier, 8-pin Mini SOIC, Pb-Free"
"R73","10 kOhms","TopLayer","RES_0603_1608","65.3500mm","84.5000mm","0","RES 10K OHM 1% 1/10W 0603"
"R72","100 kOhms","TopLayer","RES_0603_1608","76.4250mm","100.3750mm","270","RES SMD 100K OHM 5% 1/10W 0603"
"R66","10 kOhms","TopLayer","RES_0603_1608","75.7750mm","103.6000mm","90","RES 10K OHM 1% 1/10W 0603"
