Altium Designer Pick and Place Locations
D:\SCHOOLWORK\ENGG4000-BMS\Project Outputs for ENGG4000-SysMoDEL-BMS\Pick Place for [1]BMS_AFE.csv

========================================================================================================================
File Design Information:

Date:       21/01/25
Time:       14:01
Revision:   f8dbab36e58e412fea0bf7616aa122a3d9517e7e
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"Logo2","CAUTION HOT SURFACE","TopLayer","IEC_HotSurface_Small","-50.5270mm","-25.5270mm","0","IEC 61010-1 Hot Surface Warning","47.6335mm","30.1250mm","-50.5270mm","-25.5270mm"
"Logo3","DANGER HIGH VOLTAGE","TopLayer","IEC_HighVoltage_Small","-50.5270mm","-25.5270mm","0","IEC 61010-1 High Voltage Warning","85.2500mm","30.2000mm","-50.5270mm","-25.5270mm"
"J6","M20-7820242","TopLayer","HARWIN_M20-7820245","93.1450mm","122.9750mm","270","CONN RCPT 2POS 0.1 GOLD PCB","93.1450mm","122.9750mm","94.4150mm","122.9750mm"
"HS1","DA-T268-101E-TR","TopLayer","FP-DA-T268-101E-TR-MFG","30.5250mm","52.0750mm","90","TO-268 HEAT SINK /POLY TAPE","30.5250mm","52.0750mm","30.5250mm","42.0750mm"
"HS4","DA-T268-101E-TR","TopLayer","FP-DA-T268-101E-TR-MFG","67.5000mm","20.5000mm","90","TO-268 HEAT SINK /POLY TAPE","67.5000mm","20.5000mm","67.5000mm","10.5000mm"
"E6","N/A","TopLayer","SPARK_GAP2","76.2000mm","130.2630mm","180","Spark Gap","76.2000mm","131.0250mm","76.2000mm","130.5170mm"
"E5","N/A","TopLayer","SPARK_GAP2","81.2750mm","130.2630mm","180","Spark Gap","81.2750mm","131.0250mm","81.2750mm","130.5170mm"
"E3","N/A","TopLayer","SPARK_GAP2","91.8750mm","130.2630mm","180","Spark Gap","91.8750mm","131.0250mm","91.8750mm","130.5170mm"
"E2","N/A","TopLayer","SPARK_GAP2","95.1000mm","130.2460mm","180","Spark Gap","95.1000mm","131.0080mm","95.1000mm","130.5000mm"
"E1","N/A","TopLayer","SPARK_GAP2","98.0000mm","42.2210mm","180","Spark Gap","98.0000mm","42.9830mm","98.0000mm","42.4750mm"
"E7","N/A","TopLayer","SPARK_GAP2","73.5500mm","130.2630mm","180","Spark Gap","73.5500mm","131.0250mm","73.5500mm","130.5170mm"
"E4","N/A","TopLayer","SPARK_GAP2","84.1750mm","130.2710mm","180","Spark Gap","84.1750mm","131.0330mm","84.1750mm","130.5250mm"
"Q15","STH315N10F7-6","TopLayer","H2PAK-6_STM","71.7347mm","20.6200mm","90","No Description Available","69.1629mm","20.6200mm","77.0750mm","16.8100mm"
"Q14","STH315N10F7-6","TopLayer","H2PAK-6_STM","34.8347mm","20.7550mm","90","No Description Available","32.2629mm","20.7550mm","40.1750mm","16.9450mm"
"Q13","STH315N10F7-6","TopLayer","H2PAK-6_STM","71.7097mm","52.5700mm","90","No Description Available","69.1379mm","52.5700mm","77.0500mm","48.7600mm"
"Q12","STH315N10F7-6","TopLayer","H2PAK-6_STM","34.8347mm","51.3450mm","90","No Description Available","32.2629mm","51.3450mm","40.1750mm","47.5350mm"
"MP4","9774050482R","TopLayer","9774050482","104.0000mm","6.0000mm","0","9774050482R WA-SMSI SMT Steel Spacer, M4 Internal non Stop","104.0000mm","6.0000mm","104.0000mm","6.0000mm"
"MP3","9774050482R","TopLayer","9774050482","6.1000mm","129.0000mm","0","9774050482R WA-SMSI SMT Steel Spacer, M4 Internal non Stop","6.1000mm","129.0000mm","6.1000mm","129.0000mm"
"MP2","9774050482R","TopLayer","9774050482","104.0000mm","129.0000mm","0","9774050482R WA-SMSI SMT Steel Spacer, M4 Internal non Stop","104.0000mm","129.0000mm","104.0000mm","129.0000mm"
"MP1","9774050482R","TopLayer","9774050482","6.0000mm","6.0000mm","0","9774050482R WA-SMSI SMT Steel Spacer, M4 Internal non Stop","6.0000mm","6.0000mm","6.0000mm","6.0000mm"
"U5","LM7332MME/NOPB","TopLayer","DGK0008A_M","83.7000mm","91.7000mm","0","Dual Rail-to-Rail Input/Output, 30V, Wide Voltage Range, High Output Operational Amplifier, 8-pin Mini SOIC, Pb-Free","83.7000mm","91.7000mm","81.3750mm","92.6750mm"
"R73","10 kOhms","TopLayer","RES_0603_1608","65.3500mm","84.5000mm","0","RES 10K OHM 1% 1/10W 0603","65.3500mm","84.5000mm","64.7000mm","84.5000mm"
"R72","100 kOhms","TopLayer","RES_0603_1608","76.4250mm","100.3750mm","270","RES SMD 100K OHM 5% 1/10W 0603","76.4250mm","100.3750mm","76.4250mm","101.0250mm"
"R66","10 kOhms","TopLayer","RES_0603_1608","75.7750mm","103.6000mm","90","RES 10K OHM 1% 1/10W 0603","75.7750mm","103.6000mm","75.7750mm","102.9500mm"
"D15","SMCJ75A-13-F","TopLayer","DO214AB_SMC","7.5500mm","41.0000mm","270","TVS DIODE 75VWM 121VC SMC","7.5500mm","41.0000mm","7.5500mm","44.1000mm"
"C36","1500 pF","TopLayer","CAP_0603_1608","84.0500mm","86.7000mm","0","CAP CER","84.0500mm","86.7000mm","83.3750mm","86.7000mm"
"C35","10000 pF","TopLayer","CAP_0603_1608","84.2000mm","95.0250mm","180","CAP SMT06030.01UF50VDC","84.2000mm","95.0250mm","84.8750mm","95.0250mm"
"C34","4.7 µF","TopLayer","CAP_POL_1411_3528","84.3400mm","97.5750mm","0","CAP TANT 4.7UF 10% 25V 1411","84.3400mm","97.5750mm","82.8800mm","97.5750mm"
"C33","1500 pF","TopLayer","CAP_0603_1608","77.4000mm","88.0500mm","180","CAP CER","77.4000mm","88.0500mm","78.0750mm","88.0500mm"
"HS3","DA-T268-101E-TR","TopLayer","FP-DA-T268-101E-TR-MFG","30.4500mm","20.3750mm","90","TO-268 HEAT SINK /POLY TAPE","30.4500mm","20.3750mm","30.4500mm","10.3750mm"
"J9","Pack 3","TopLayer","FP-S4B-XH-SM4-TB_LF_SN-MFG","6.1500mm","81.8000mm","270","CONN HEADER SMD R/A 4POS 2.5MM","4.5000mm","81.8000mm","9.5500mm","85.5500mm"
"R9","28.7 Ohms","TopLayer","RES_2512_6432","19.0397mm","119.1366mm","0","RES SMD 28.7 OHM 1% 1W 2512","19.0397mm","119.1366mm","15.8647mm","119.1366mm"
"J3","Pack 1","TopLayer","FP-S4B-XH-SM4-TB_LF_SN-MFG","6.1500mm","116.3000mm","270","CONN HEADER SMD R/A 4POS 2.5MM","4.5000mm","116.3000mm","9.5500mm","120.0500mm"
"U4","LMT01LPG","TopLayer","FP-LPG0002A-MFG","69.5000mm","84.6000mm","0","SENSOR DIGITAL -50C-150C TO92-2","69.5000mm","84.3900mm","68.2300mm","84.6000mm"
"U3","MSP430G2553IPW20","TopLayer","PW0020A_L","94.1830mm","90.9988mm","0","16 MHz Mixed Signal Microcontroller with 16 KB Flash, 512 B SRAM and 24 GPIOs, -40 to 85 degC, 20-pin SOP (PW), Green (RoHS & no Sb/Br)","94.1830mm","90.9988mm","91.3330mm","93.9238mm"
"U2","TPS3839G33DBZR","TopLayer","FP-DBZ0003A-MFG","71.2897mm","107.3685mm","0","IC SUPERVISOR 1 CHANNEL SOT23-3","71.2897mm","107.3685mm","70.2397mm","108.3185mm"
"U1","BQ7693003DBTR","TopLayer","FP-DBT0030A-IPC_C","49.1404mm","101.8185mm","180","IC BATT MGMT LI-ION AFE 30TSSOP","49.1404mm","101.8185mm","51.8911mm","98.3185mm"
"S2","430182070816","TopLayer","430182070816","106.0000mm","83.0000mm","270","Switch Tactile Spst-no 0.05A 12V","106.0000mm","83.0000mm","108.2500mm","86.9750mm"
"S1","Low Power Mode","TopLayer","430182070816","49.0897mm","122.4185mm","180","Switch Tactile Spst-no 0.05A 12V","49.0897mm","122.4185mm","53.0647mm","120.1685mm"
"RT2","103AT-2","TopLayer","FP-103AT-2-MFG","46.3000mm","114.7500mm","180","Thermistor NTC 10KOhm 1% 2-Pin","46.3000mm","114.7500mm","47.5700mm","114.7500mm"
"RT1","103AT-2","TopLayer","FP-103AT-2-MFG","58.9147mm","122.6185mm","180","Thermistor NTC 10KOhm 1% 2-Pin","58.9147mm","122.6185mm","60.1847mm","122.6185mm"
"R76","1.3 kOhms","TopLayer","RES_0603_1608","84.0250mm","88.3250mm","0","RES 1.3K OHM 1% 1/10W 0603","84.0250mm","88.3250mm","83.3750mm","88.3250mm"
"R63","360 kOhms","TopLayer","RES_0603_1608","69.3750mm","100.5000mm","180","RES 360K OHM 1% 1/10W 0603","69.3750mm","100.5000mm","70.0250mm","100.5000mm"
